"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"Mcavernosa26072-RA",-0.12675715196675,4.31289745485021,0.00851513117691383,0.926477589579053,0.984137429892333,1,"Stable","Stable"
"Mcavernosa26140-RA",-3.26732782979568,4.54378809489125,3.02115272621402,0.0821850300075086,0.557251689217917,1,"Stable","Stable"
"Mcavernosa26143-RA",-3.53249463758518,4.12237400850903,2.11074325975095,0.146268260104437,0.577082727878784,1,"Stable","Stable"
"Mcavernosa26144-RA",-1.74746920163292,2.77285487675549,0.658682620013088,0.417025413521217,0.718886623679476,1,"Stable","Stable"
"Mcavernosa26145-RA",-0.120243080773211,3.95398723157938,0.00307083231058236,0.955807773431495,0.993142344678465,1,"Stable","Stable"
"Mcavernosa26148-RA",-2.79947498232884,4.60742775982065,1.80624292807033,0.178959583971419,0.597224565178458,1,"Stable","Stable"
"Mcavernosa26183-RA",4.65523147104764,7.74918363221748,9.14174080197633,0.00249843280715991,0.207677585821467,1,"Stable","Stable"
"Mcavernosa26186-RA",1.83932758659741,3.34375068125546,0.705450967959957,0.400958129346143,0.708988375612823,1,"Stable","Stable"
"Mcavernosa26189-RA",1.98333739067149,5.2770741709702,1.21488176708819,0.27036745105969,0.615089260701978,1,"Stable","Stable"
"Mcavernosa26190-RA",0.880735559175074,2.67992071976069,2.20438476931692,0.137618788707402,0.557251689217917,1,"Stable","Stable"
"Mcavernosa26192-RA",0.603916954593937,4.52560706398826,0.128492414802036,0.720000304397984,0.892255000267025,1,"Stable","Stable"
"Mcavernosa26193-RA",-2.92349417812145,5.92599394602584,7.55065752185158,0.0059988181554976,0.332911463014343,1,"Stable","Stable"
"Mcavernosa26195-RA",1.80113135065967,7.32238202483408,1.78539397876622,0.181488369441851,0.597224565178458,1,"Stable","Stable"
"Mcavernosa26196-RA",-1.29475892828427,6.13250265451802,1.0088365467103,0.315181727815749,0.642343545613001,1,"Stable","Stable"
"Mcavernosa26199-RA",0.0737740986943865,3.98914279156944,0.00279544826699762,0.957833894826301,0.993812911437417,1,"Stable","Stable"
"Mcavernosa26225-RA",2.18704472815111,4.00525753120772,2.14891146318182,0.142671010397516,0.569336162018603,1,"Stable","Stable"
"Mcavernosa26226-RA",0.161539485215016,4.85802242850426,0.00619226609400947,0.937278441575605,0.987987627947309,1,"Stable","Stable"
"Mcavernosa26227-RA",-0.428522012027122,9.3043808141946,0.28828002093519,0.591324847282951,0.8229310150037,1,"Stable","Stable"
"Mcavernosa23663-RA",-0.500590878590577,2.88553766418641,0.0314391517550705,0.859264197247641,0.953109723510992,1,"Stable","Stable"
"Mcavernosa23697-RA",-1.94249180761269,6.0104248056588,2.66991938498547,0.102261203201929,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23707-RA",-0.615202644031661,2.67741662107986,1.07552579956843,0.299700625757397,0.628166202784882,1,"Stable","Stable"
"Mcavernosa23708-RA",0.533055504450188,2.66923371417167,1.31465466201125,0.251553629617435,0.597224565178458,1,"Stable","Stable"
"Mcavernosa23709-RA",0.880735559175074,2.67992071976069,2.20438476931692,0.137618788707402,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23753-RA",0.880735559175074,2.67992071976069,2.20438476931692,0.137618788707402,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23754-RA",-2.21902279188561,4.55501643140758,2.25528728899617,0.133158741569131,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23755-RA",0.758604977040991,7.84881324272876,0.735115561619864,0.391230044640977,0.703147881718006,1,"Stable","Stable"
"Mcavernosa23756-RA",0.744171231118078,3.64340537866416,0.334663412664838,0.562925919146558,0.802855660135037,1,"Stable","Stable"
"Mcavernosa23758-RA",0.352940785806536,8.55801265094588,0.195879093913941,0.658067888359411,0.858730056788419,1,"Stable","Stable"
"Mcavernosa23760-RA",-0.0827713789080001,2.68803102366793,0.000138802134922678,0.990599994931283,0.998337802284864,1,"Stable","Stable"
"Mcavernosa23761-RA",-0.187554640657538,3.24697010570166,0.0122318333905636,0.911935435444077,0.977504462831051,1,"Stable","Stable"
"Mcavernosa23762-RA",1.07848797148336,5.93578326060866,0.818220625449133,0.365700927264187,0.684228889279934,1,"Stable","Stable"
"Mcavernosa23763-RA",-0.689643315748743,2.77356332304516,0.197615302621227,0.656652629718013,0.857820210304155,1,"Stable","Stable"
"Mcavernosa23764-RA",2.00605227087216,4.02679443942729,1.05584633191142,0.304164455771502,0.632892722645017,1,"Stable","Stable"
"Mcavernosa23766-RA",-1.13312976309372,6.04305631317008,1.47897740916442,0.223934584679538,0.597224565178458,1,"Stable","Stable"
"Mcavernosa23768-RA",-1.84271707539743,3.44242230998106,1.53971636447913,0.214660028673605,0.597224565178458,1,"Stable","Stable"
"Mcavernosa23770-RA",2.95013074910085,2.93417734345405,2.45029604991176,0.117502704718423,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23773-RA",-1.90112380350383,2.77008916882658,3.92772956216333,0.0474960274948416,0.547146386157519,1,"Stable","Stable"
"Mcavernosa23801-RA",-2.39107760829243,6.93182683040378,4.08159697795461,0.0433526665281508,0.536381131524782,1,"Stable","Stable"
"Mcavernosa23802-RA",-1.37323783508372,7.83966698462646,2.48375635195564,0.115027239796485,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23808-RA",-0.604469060301792,5.89720541399728,0.260503906837052,0.609774175282934,0.835055964531025,1,"Stable","Stable"
"Mcavernosa23810-RA",-0.0596049503365254,5.64750829109012,0.00297998968528645,0.956465677927038,0.99359541062675,1,"Stable","Stable"
"Mcavernosa23812-RA",-0.821169314840505,2.72475628631557,0.608518470369864,0.435346178125327,0.721778167198216,1,"Stable","Stable"
"Mcavernosa23849-RA",0.364542109040726,4.34184290315112,0.0343632697687237,0.852936229065152,0.95067294732325,1,"Stable","Stable"
"Mcavernosa23851-RA",0.880735559175074,2.67992071976069,2.20438476931692,0.137618788707402,0.557251689217917,1,"Stable","Stable"
"Mcavernosa23852-RA",0.669033673650265,3.64127946490396,0.256361839055874,0.612630710409369,0.837071469175032,1,"Stable","Stable"
"Mcavernosa23853-RA",-0.261770207005794,7.80026652796154,0.116340802523169,0.733037578874641,0.89852408064008,1,"Stable","Stable"
"Mcavernosa23865-RA",-1.42721928631791,5.91388447716068,1.69383334758843,0.193096419464158,0.597224565178458,1,"Stable","Stable"
"Mcavernosa23866-RA",-0.834409952570442,7.48654025481698,0.760425558863609,0.383195377905404,0.698034549480322,1,"Stable","Stable"
"Mcavernosa23920-RA",-1.29510541939199,2.76175572551069,0.576723470047081,0.447599489510156,0.727081841776258,1,"Stable","Stable"
"Mcavernosa23923-RA",-3.93515614810632,3.94967436604523,5.58053738809324,0.0181611491269693,0.486751809162506,1,"Stable","Stable"
"Mcavernosa24035-RA",1.23420191204851,2.78021044591682,1.95289954373937,0.1622747396261,0.587518856012523,1,"Stable","Stable"
"Mcavernosa24041-RA",1.63651860661063,2.76019756451053,3.41512974054081,0.0646013353419416,0.555725775133094,1,"Stable","Stable"
"Mcavernosa24061-RA",-1.73656842453926,3.5555897375823,0.543003718768915,0.461190547022819,0.735908258448352,1,"Stable","Stable"
"Mcavernosa24075-RA",-1.35241914383363,2.7144744165293,2.70826548974168,0.0998294818376633,0.557251689217917,1,"Stable","Stable"
"Mcavernosa24077-RA",0.18166057836398,11.5793232507556,0.108688876959249,0.741641796471843,0.901849804576621,1,"Stable","Stable"
"Mcavernosa24080-RA",2.11209254064859,10.4042864949016,9.93718851074175,0.00161972746946567,0.15788378459358,1,"Stable","Stable"
"Mcavernosa24081-RA",-1.20909480688017,2.71271956201761,2.20613626264735,0.137462573826788,0.557251689217917,1,"Stable","Stable"
"Mcavernosa24082-RA",-0.615202644031661,2.67741662107986,1.07552579956843,0.299700625757397,0.628166202784882,1,"Stable","Stable"
"Mcavernosa24083-RA",0.147840150714449,3.92956456563467,0.00750951662350374,0.930943785428411,0.985501754418316,1,"Stable","Stable"
"Mcavernosa24086-RA",-2.40193688008934,3.12721674085993,1.07394546209782,0.30005595689345,0.628406583061671,1,"Stable","Stable"
"Mcavernosa24087-RA",5.40464313493887,4.94966268691213,4.44715710558447,0.0349593986197781,0.533454070116035,1,"Stable","Stable"
"Mcavernosa24088-RA",-1.03563886414132,2.69609002212414,1.96533024127596,0.160944404134555,0.587518856012523,1,"Stable","Stable"
