"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf"
"Mcavernosa21440",-1.38795519242441,1.59025304236104,0.296416924429981,0.586137455912634,0.785890403306572,1
"Mcavernosa21442",-4.29108452548045,3.54713285646479,7.96592829898227,0.00476660391437,0.164845110177094,1
"Mcavernosa21443",-0.86957453711119,1.49744444756603,0.127921610022405,0.720596793167463,0.883620799484091,1
"Mcavernosa21444",2.54199945989791,1.33193606318196,3.60353778840944,0.0576567508890885,0.301749930190448,1
"Mcavernosa21445",5.66118683068272,2.65006952977915,6.50105348088131,0.0107810593995676,0.192593455548147,1
"Mcavernosa21446",2.57606066878626,7.85830116389273,3.00918735404733,0.082793789586998,0.337952491209673,1
"Mcavernosa21447",1.39255409921504,5.26182932959735,0.660810130852997,0.416274082259682,0.65924156620733,1
"Mcavernosa21449",0.58185186135928,6.22234713594276,0.148803152774637,0.699681742042713,0.870521986357193,1
"Mcavernosa21454",0,1.12422133588168,0,1,1,1
"Mcavernosa21455",3.34511303372948,1.56737158813413,4.64427773698305,0.0311572458212436,0.256951409576579,1
"Mcavernosa21456",1.93273502880498,1.45144994232252,1.34158611930601,0.246754446484361,0.502699177341346,1
"Mcavernosa21457",3.35631222593856,1.57121899291581,4.65805305151589,0.0309082200394469,0.256951409576579,1
"Mcavernosa21460",2.15311301438982,1.27581573407008,2.89676528736877,0.0887575002115969,0.347372652309775,1
"Mcavernosa21462",-2.72316162930066,2.96355020084446,1.62579658160555,0.202285427542225,0.452446855265125,1
"Mcavernosa21465",-0.364400940053631,5.16585356736694,0.0808544884915552,0.776142757086253,0.922406218681046,1
"Mcavernosa21468",-0.301547892500914,5.10855519697313,0.0431269057445576,0.835486499041576,0.962265752401003,1
"Mcavernosa21469",-4.65027963029466,3.5268227130407,8.58441468010396,0.00339052356740549,0.151971308417625,1
"Mcavernosa21471",-1.80155785958705,1.46031252206446,0.590485732996393,0.442231350232423,0.666877038588059,1
"Mcavernosa21473",0.26058267793693,7.26402516378853,0.0336084867820823,0.854542097006236,0.973596792986595,1
"Mcavernosa21474",-1.42922189971773,6.00708931983375,1.05466506966632,0.304435120526496,0.557018333844963,1
"Mcavernosa21476",-1.7493225272308,1.22278367667642,1.40534562444943,0.235830585357002,0.491847039317657,1
"Mcavernosa21477",1.20083853703241,6.88795134515182,0.505557036190114,0.477068532350121,0.698682614911213,1
"Mcavernosa21481",2.16104244394832,3.28796683772199,0.920471811053837,0.33735112058427,0.59305425330556,1
"Mcavernosa21482",0.531836011248785,1.33011476163312,0.0768019174129,0.781679067154883,0.926095774533727,1
"Mcavernosa21483",0,1.12422133588168,0,1,1,1
"Mcavernosa21487",-1.86652886688999,4.12243300151283,1.47197928763702,0.225033666185506,0.481031132621387,1
"Mcavernosa21488",-2.74677321339311,2.6447660242033,1.83757983142923,0.17523487088396,0.435194103533493,1
"Mcavernosa21489",-5.45932008591498,2.18602415052015,3.88429067466258,0.0487398469436561,0.289275726560207,1
"Mcavernosa21490",5.81874769026776,4.88312239170485,4.95583958359719,0.0260026956302048,0.245184608488501,1
