"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"LOC110052787",-0.0475222424232495,2.60168876833187,0.00503503349891332,0.943431206254155,0.981490274012033,1,"Stable","Stable"
"LOC110052785",0.0293438048668591,6.48723624818084,0.00940969499432143,0.922723549541616,0.973471658160137,1,"Stable","Stable"
"LOC110052786",0.214372249243743,4.5172834344469,0.323453169509168,0.569539769387807,0.814287940631783,1,"Stable","Stable"
"LOC110052874",0.427360892553631,1.78957809906163,0.57947055233182,0.446519922363169,0.740992173257178,1,"Stable","Stable"
"LOC110052913",-1.38454048255344,4.65487580843119,11.5610876901857,0.000673464449942617,0.0213837312449384,1,"Down","Stable"
"LOC110052873",-0.611353808169984,6.72666663551841,3.25398385443533,0.071250086168792,0.354381173508624,1,"Stable","Stable"
"LOC110052749",0.150860029296939,3.00485707949745,0.0656745351979886,0.797742025580644,0.926164537380727,1,"Stable","Stable"
"LOC110052896",0.988261469231606,2.19607212277985,2.02883151229776,0.154339229720907,0.486909328396895,1,"Stable","Stable"
"LOC110052838",0.477169307736556,6.04623754402129,2.64630596533173,0.103790831523062,0.41346001029885,1,"Stable","Stable"
"LOC110052817",2.05993662995865,3.29063204241746,16.3589444666113,5.24082386759286e-05,0.00325645737590884,1,"Up","Stable"
"LOC110052948",1.06707899382302,0.535286391254429,2.2762685311204,0.131367599297386,0.454484441023496,1,"Stable","Stable"
"LOC110052901",-0.373318765369341,4.53925682448704,0.654619186587471,0.418466024869462,0.720552775386803,1,"Stable","Stable"
"LOC110052875",-0.257000795196156,5.15109074360232,0.341769551743958,0.558809579711215,0.8088762480989,1,"Stable","Stable"
"LOC110052810",-0.686758660877888,3.12998633507561,2.28277809012528,0.130817364708076,0.45387649125873,1,"Stable","Stable"
"LOC110052919",1.19713363136,2.67006096284421,2.01606988723748,0.155641525074289,0.488343666215679,1,"Stable","Stable"
"LOC110052914",-0.566787089208853,1.83977757788057,0.69511703204337,0.404429322718007,0.709781600761865,1,"Stable","Stable"
"LOC110052922",0.651421240571061,3.79374908322183,1.86336874232701,0.17223650207941,0.507809722339902,1,"Stable","Stable"
"LOC110052717",0.461128213275601,1.30599343341896,0.259946747147488,0.610156742573096,0.837499165336701,1,"Stable","Stable"
"LOC110052826",0.249550470095564,5.79267871407794,0.976166500032974,0.323147071663465,0.654385636015819,1,"Stable","Stable"
"LOC110052803",-1.32523719730569,1.23054014317678,4.91275753137712,0.0266590482962173,0.222212568456238,1,"Stable","Stable"
"LOC110052801",0.2573024772188,4.65435526712737,0.468436855453625,0.493707168381188,0.77033859692206,1,"Stable","Stable"
"LOC110052800",-0.441966936629738,5.19590449815477,0.7753652903281,0.378562357412237,0.691011322585426,1,"Stable","Stable"
"LOC110052802",0.843112246837378,0.986829803062465,0.501812416330381,0.478704842891395,0.761515776976854,1,"Stable","Stable"
"LOC110052877",2.2464441607771,1.01445234010726,3.09412618665146,0.078575326955133,0.368658129101251,1,"Stable","Stable"
